#Data: SHAPE_SFM_49k_v20180804.dat
#Number of Polygons: 49152
#Rotational Period: 3.4 [h] , Density: 1200 [kg/m^3] 
#Unit: Polygon center coordinate in km, and SI units for other values.49152
#PlateID  center_x   center_y   center_z   lon    lat    CRefAccx   CRefAccy   CRefAccz   attract_x  attract_y  attract_z  Gpotential Rpotential Tpotential GeopotentialSlope  normal_x    normal_y    normal_z   area   
         101    -0.2601    -0.1208     0.2674  204.9  42.99 -6.855e-05 -3.184e-05          0  2.063e-05  1.105e-05 -0.0001173    0.07182    0.01084   -0.08266  29.51      -45.58       -6.323        55.09 3.589e-05 
         102    -0.2573    -0.1241     0.2689  205.7  43.27 -6.781e-05 -3.269e-05          0  2.034e-05  1.116e-05 -0.0001178    0.07175    0.01075    -0.0825  26.49      -41.16       -14.29        56.93 3.584e-05 
         103    -0.2594    -0.1284     0.2668  206.3  42.67 -6.836e-05 -3.383e-05          0  2.009e-05  1.078e-05 -0.0001171    0.07162    0.01104   -0.08266  24.25      -39.22       -4.351        58.15 3.514e-05 
         104    -0.2564    -0.1316     0.2682  207.2  42.94 -6.756e-05 -3.468e-05          0   1.98e-05  1.099e-05 -0.0001176    0.07157    0.01094   -0.08252  20.89      -34.72       -11.71        59.73 3.503e-05 
         105    -0.2583    -0.1358     0.2658  207.7  42.33 -6.805e-05  -3.58e-05          0  1.963e-05  1.099e-05 -0.0001168     0.0715    0.01122   -0.08271  26.18      -36.04       -23.18        56.75 3.556e-05 
         106    -0.2552     -0.139     0.2668  208.6  42.55 -6.724e-05 -3.664e-05          0  1.957e-05  1.096e-05 -0.0001171     0.0715    0.01112   -0.08263  27.09      -39.98       -17.06        55.93 3.542e-05 
         107    -0.2571    -0.1433     0.2645  209.1  41.94 -6.774e-05 -3.775e-05          0  1.936e-05  1.056e-05 -0.0001165    0.07141    0.01141   -0.08282  24.51      -37.81       -9.283        56.14 3.416e-05 
         108    -0.2542    -0.1466     0.2659    210  42.19 -6.697e-05 -3.862e-05          0  1.917e-05  1.052e-05 -0.0001168    0.07133    0.01134   -0.08267  25.09      -38.88        -8.37        56.61 3.459e-05 
         109    -0.2563    -0.1508     0.2641  210.5  41.61 -6.754e-05 -3.975e-05          0  1.881e-05  1.016e-05 -0.0001161    0.07114    0.01165   -0.08279     24      -37.82       -1.417        58.37 3.478e-05 
         110    -0.2537    -0.1543     0.2659  211.3  41.84 -6.684e-05 -4.065e-05          0  1.847e-05  1.024e-05 -0.0001164    0.07099    0.01161    -0.0826  25.99      -40.11        1.398        58.79 3.559e-05 
         111    -0.2558    -0.1585     0.2641  211.8  41.27  -6.74e-05 -4.177e-05          0  1.806e-05  1.041e-05 -0.0001156     0.0708    0.01193   -0.08273  27.83      -40.05       -8.727        53.59 3.373e-05 
         112    -0.2525    -0.1617      0.265  212.6  41.46 -6.654e-05 -4.262e-05          0  1.763e-05  1.115e-05 -0.0001159     0.0708    0.01185   -0.08265   25.6      -26.73       -29.59        56.32 3.45e-05 
         113    -0.2541    -0.1657     0.2623  213.1  40.85 -6.695e-05 -4.366e-05          0  1.739e-05   1.12e-05 -0.0001152    0.07076    0.01212   -0.08288  22.77      -25.82       -25.49        56.65 3.364e-05 
         114    -0.2506    -0.1688     0.2624    214  40.98 -6.603e-05 -4.448e-05          0  1.738e-05  1.153e-05 -0.0001154    0.07087    0.01203    -0.0829  23.26      -24.94       -28.22        57.95 3.456e-05 
         115    -0.2522    -0.1727     0.2598  214.4  40.36 -6.644e-05 -4.551e-05          0  1.719e-05  1.144e-05 -0.0001147    0.07082    0.01231   -0.08313   24.2      -24.36       -28.47         55.8 3.361e-05 
         116    -0.2488    -0.1759     0.2601  215.3  40.49 -6.555e-05 -4.636e-05          0  1.739e-05  1.134e-05 -0.0001148    0.07088    0.01223   -0.08311  22.88      -30.77       -18.46           55 3.283e-05 
         117    -0.2505    -0.1799     0.2578  215.7  39.89   -6.6e-05  -4.74e-05          0  1.717e-05  1.111e-05 -0.0001141    0.07077    0.01253    -0.0833  23.57      -30.56       -19.14        54.01 3.247e-05 
         118    -0.2475    -0.1833     0.2586  216.5  40.01 -6.522e-05  -4.83e-05          0  1.724e-05  1.093e-05 -0.0001142    0.07073     0.0125   -0.08323  24.76      -34.67       -12.59        53.52 3.25e-05 
         119    -0.2494    -0.1873     0.2566  216.9  39.44 -6.571e-05 -4.936e-05          0  1.688e-05   1.06e-05 -0.0001135    0.07056    0.01282   -0.08338  23.27         -33       -8.712        53.34 3.166e-05 
         120    -0.2466    -0.1909     0.2577  217.7  39.57 -6.497e-05  -5.03e-05          0  1.674e-05  1.059e-05 -0.0001136    0.07045    0.01281   -0.08326  23.03      -32.28        -9.37        52.99 3.137e-05 
         121    -0.2485    -0.1949     0.2559  218.1  39.02 -6.547e-05 -5.136e-05          0   1.63e-05  1.036e-05 -0.0001129    0.07025    0.01314   -0.08339  22.35      -31.75       -7.317        53.61 3.137e-05 
         122    -0.2459    -0.1986     0.2572  218.9  39.13 -6.479e-05 -5.233e-05          0   1.61e-05  1.035e-05 -0.0001129    0.07009    0.01316   -0.08325  25.06      -35.34       -2.774        54.25 3.24e-05 
